Designator,Val,Package,MidX,MidY,Rotation,Layer
D1,BLUE LED,LED_0805_2012Metric,124.30228,-122.97918,180,top
D2,GREEN LED,LED_0805_2012Metric,143.76376,-125.16104,180,top
F1,Fiducial_1.5mm_Mask3mm,Fiducial_1.5mm_Mask3mm,183.30418,-147.18538,0,top
F2,Fiducial_1.5mm_Mask3mm,Fiducial_1.5mm_Mask3mm,131.699,-123.1773,0,top
R1,1k,R_0805_2012Metric,117.46484,-123.97486,270,top
R2,750,R_0805_2012Metric,137.10436,-122.3645,0,top
R3,10k,R_0805_2012Metric,137.08888,-125.99416,180,top
U2,AQY210EHA,SOP254P962X315-4N,193.71818,-145.89252,0,top
